intYear,popGrowYear,popGrowTrimesterFirst,popGrowTrimesterSecond,popGrowTrimesterThird,popGrowTrimesterFourth
2005,1.415822666,1.425918901,1.436015136,1.44611137,1.456207605
2006,1.456207605,1.463671823,1.47113604,1.478600258,1.486064475
2007,1.486064475,1.488390634,1.490716793,1.493042952,1.495369111
2008,1.495369111,1.490716232,1.486063353,1.481410473,1.476757594
2009,1.476757594,1.467103579,1.457449564,1.447795548,1.438141533
2010,1.438141533,1.427304285,1.416467036,1.405629788,1.394792539
2011,1.394792539,1.384916717,1.375040896,1.365165074,1.355289252
2012,1.355289252,1.345357185,1.335425118,1.325493051,1.315560984
2013,1.315560984,1.306089829,1.296618674,1.287147518,1.277676363
2014,1.277676363,1.268551704,1.259427044,1.250302385,1.241177725
2015,1.241177725,1.231696126,1.222214527,1.212732928,1.203251329
2016,1.203251329,1.193430442,1.183609554,1.173788667,1.163967779
2017,1.163967779,1.154581122,1.145194464,1.135807807,1.126421149
2018,1.126421149,0.844815862,0.563210575,0.281605287,0
